timestamp,O,H,L,C,V
2024-05-06 09:15:00+05:30,3522.8,3527.0,3488.0,3491.15,78956
2024-05-06 09:20:00+05:30,3489.3,3493.1,3483.0,3487.45,37298
2024-05-06 09:25:00+05:30,3487.45,3492.0,3486.05,3491.5,30882
2024-05-06 09:30:00+05:30,3489.6,3492.0,3488.65,3489.95,14422
2024-05-06 09:35:00+05:30,3489.2,3490.3,3473.5,3475.9,226218
2024-05-06 09:40:00+05:30,3475.0,3486.9,3467.35,3486.9,45870
2024-05-06 09:45:00+05:30,3487.0,3488.0,3468.0,3468.25,22195
2024-05-06 09:50:00+05:30,3468.25,3471.85,3465.05,3470.65,30665
2024-05-06 09:55:00+05:30,3470.4,3471.85,3455.85,3456.45,38419
2024-05-06 10:00:00+05:30,3456.45,3459.6,3452.1,3456.0,32791
2024-05-06 10:05:00+05:30,3456.0,3460.0,3449.6,3454.0,35205
2024-05-06 10:10:00+05:30,3454.0,3462.3,3449.0,3455.0,27644
2024-05-06 10:15:00+05:30,3455.0,3458.0,3449.0,3458.0,71997
2024-05-06 10:20:00+05:30,3457.85,3461.7,3455.0,3456.95,26825
2024-05-06 10:25:00+05:30,3456.95,3463.9,3456.9,3457.7,22971
2024-05-06 10:30:00+05:30,3458.0,3461.4,3453.45,3461.3,19958
2024-05-06 10:35:00+05:30,3461.3,3464.25,3460.0,3461.25,42053
2024-05-06 10:40:00+05:30,3461.25,3462.7,3455.15,3456.0,17296
2024-05-06 10:45:00+05:30,3457.05,3457.25,3451.3,3453.4,15505
